Exchange, URL, REPO, Whitepaper/Docs, DEX GRADE, Status, Protocol, Reference
Ether Wager, http://eth-wager.surge.sh/, , , , (operating), oraclize protocol, 
Ethex, https://ethex.market/, https://github.com/Ethex, , , (beta), TBC, 
Ethfinex, https://www.ethfinex.com/, , , , (private beta), multi protocol, 4
Ethos, https://www.ethos.io/, , http://www.ethos.io/Ethos_Whitepaper.pdf, DCD-DS, (developing), multi protocol (0x-atomic swap), 6
EthRoox, https://etheroox.com/, , , , (operating with issues), TBC, 
ExchangeN, http://www.exchangen.com/, , , , (operating with issues), TBC, 
Exchange Union, https://www.exchangeunion.com, https://github.com/exchangeunion, https://api.exchangeunion.com/pdf/en/ExchangeUnion-WhitePaper.pdf,  DS-DOB-DD, (developing), cross-exchange protocol, 
Expread, http://expread.io/, , http://expread.io/home/EXPREAD_WhitePaper_Version2.1-final.compressed.pdf, , (developing), payment channels protocol, 
FairX, https://fairx.io/, https://github.com/fairxio/, https://github.com/fairxio/docs, , (developing), stellar consensus protocol, 6
Flipper0x, https://flipper0x.io/, , , , (developing), 0x protocol, 
Forkdelta, https://forkdelta.github.io/, https://github.com/forkdelta/, , , (operating), on-chain protocol, 
Freedom Ledger, https://www.freedomledger.com/, , , , (developing), bitshares protocol (DPOS), 
Fusion, https://fusion.org/, https://github.com/FUSIONFoundation, https://fusion.org/files/FUSION%20Whitepaper%20V1.0.3.pdf, , (developing), fusion protocol, 2
GDEX, https://www.gdex.io/, , , , (operating), bitshares protocol (DPOS), 
Genotik, https://genotik.com/, https://github.com/genotik, https://genotik.com/white-paper.pdf, , (developing), TBC, 
Gimmer, https://gimmer.net/, https://github.com/GimmerBot, https://token.gimmer.net/#whitepaper, , (developing), TBC, 
gnodex, , https://github.com/gnosis/gnodex/, , , (developing), off-chain protocol, 
gnosis-exchange, , https://github.com/gnosis/gnosis-exchange, , , (developing), TBC, 
Graphene, http://docs.bitshares.eu//index.html, , , , (operating), bitshares protocol (Graphene), 2
Heat, https://heatwallet.com/, , , , (operating), asset-to-asset protocol, 
Herdius, https://herdius.com/, , , , (developing - ICO expected in Q1 2018), cross-chain protocol, 
Hydra, http://libertaria.world/, , , , (developing - whitepaper), hydra protocol, 2
Hodl Hodl, https://hodlhodl.com/, , , DCD-DSTT, (operating), TBC, 3
Hodl⚡️co, http://www.hodlco.io, , , , (developing), TBC, 6
IDEX, https://idex.market/, , , , (operating), snowglobe protocol, 
IDT Exchange, https://trade.idtexchange.com/, , , , (operating), 0x protocol, 
Inbest Network, https://www.inbest.network/, , , , (ICO), inbest protocol, 4
Javvy, https://javvy.com/, https://github.com/javvycrypto, https://javvy.com/wp-content/uploads/2017/09/javvy_crypto-solution-white-paper.pdf, , (developing), TBC, 
JOYSO, https://joyso.io/, , , , (ICO), hex protocol, 3
Komodo, https://www.komodoplatform.com/, https://github.com/KomodoPlatform, https://www.komodoplatform.com/en/whitepaper/2018-02-14-Komodo-White-Paper-Full.pdf, , (developing), komodo protocol, 2
KyberNetwork, https://kyber.network/, https://github.com/kyberNetwork/, , , (operating), kyber protocol, 
LAtoken, http://www.latoken.com/, , , , (operating), spectre protocol (DAG), 
Legolas Exchange, https://legolas.exchange/, , , , (developing), legolas protocol, 3
Lendroid, https://lendroid.com/, https://github.com/lendroidproject, https://lendroid.com/assets/whitepaper-margin-trading.pdf, , (developing), lendroid protocol, 
Leverj, https://leverj.io/, , , , (developing), leverj protocol, 5
